"full","location","plot","treat","BI","KEY"
"B4_LC_6","S6","B4","LC",0.0982388142912595,"B4LCS6"
"B4_LC_7","S7","B4","LC",0.0555864399753613,"B4LCS7"
"B4_LC_8","S8","B4","LC",0.125242581407616,"B4LCS8"
"B4_LC_9","S9","B4","LC",0.115321366782364,"B4LCS9"
"B5_LC_1","S1","B5","LC",0.128063696979428,"B5LCS1"
"B5_LC_10","S10","B5","LC",0.0950709389992548,"B5LCS10"
"B5_LC_11","S11","B5","LC",0.114241518506886,"B5LCS11"
"B5_LC_12","S12","B5","LC",0.123960632662349,"B5LCS12"
"B5_LC_13","S13","B5","LC",0.082363252992656,"B5LCS13"
"B5_LC_14","S14","B5","LC",0.133439164046759,"B5LCS14"
"B5_LC_15","S15","B5","LC",0.0822437120133577,"B5LCS15"
"B5_LC_2","S2","B5","LC",0.13159939384866,"B5LCS2"
"B5_LC_3","S3","B5","LC",0.117079599860308,"B5LCS3"
"B5_LC_4","S4","B5","LC",0.0855972478311632,"B5LCS4"
"B5_LC_5","S5","B5","LC",0.133099158025869,"B5LCS5"
"B5_LC_6","S6","B5","LC",0.115614731675263,"B5LCS6"
"B5_LC_7","S7","B5","LC",0.105519119600495,"B5LCS7"
"B5_LC_8","S8","B5","LC",0.131239536989408,"B5LCS8"
"B5_LC_9","S9","B5","LC",0.131315996470704,"B5LCS9"
"B1_LW_1","S1","B1","LW",0.0859441810374871,"B1LWS1"
"B1_LW_10","S10","B1","LW",0.145635734881361,"B1LWS10"
"B1_LW_11","S11","B1","LW",0.138610412942078,"B1LWS11"
"B1_LW_12","S12","B1","LW",0.0823368252207139,"B1LWS12"
"B1_LW_13","S13","B1","LW",0.142817344948432,"B1LWS13"
"B1_LW_14","S14","B1","LW",0.13891540354007,"B1LWS14"
"B1_LW_15","S15","B1","LW",0.0871494100167481,"B1LWS15"
"B1_LW_2","S2","B1","LW",0.128005781585251,"B1LWS2"
"B1_LW_3","S3","B1","LW",0.10251594750276,"B1LWS3"
"B1_LW_4","S4","B1","LW",0.1061531701141,"B1LWS4"
"B1_LW_5","S5","B1","LW",0.140258016368303,"B1LWS5"
"B1_LW_6","S6","B1","LW",0.101710165925639,"B1LWS6"
"B1_LW_7","S7","B1","LW",0.12604075469051,"B1LWS7"
"B1_LW_8","S8","B1","LW",0.148957374105583,"B1LWS8"
"B1_LW_9","S9","B1","LW",0.0845130790726013,"B1LWS9"
"B2_LW_1","S1","B2","LW",0.105678260857398,"B2LWS1"
"B2_LW_10","S10","B2","LW",0.119694620157388,"B2LWS10"
"B2_LW_11","S11","B2","LW",0.157075663755854,"B2LWS11"
"B2_LW_12","S12","B2","LW",0.130686382294453,"B2LWS12"
"B2_LW_13","S13","B2","LW",0.148298204733076,"B2LWS13"
"B2_LW_14","S14","B2","LW",0.155566011303057,"B2LWS14"
"B2_LW_15","S15","B2","LW",0.138753708387074,"B2LWS15"
"B2_LW_2","S2","B2","LW",0.0994452407626456,"B2LWS2"
