"ID","Plot","Treat","Type","Rep","NDVI","CI1","CI2"
"B3_CW_DCY_3","B3","CW","DCY","3","0.195823604262912","0.364707127273219","0.0413005852736656"
"B3_CW_LCN_1","B3","CW","LCN","1","0.14399104720605","0.401728227056793","0.0339530120029084"
"B3_CW_LCN_2","B3","CW","LCN","2","0.166946507749639","0.369868398762038","0.0367380022653604"
"B3_CW_LCN_3","B3","CW","LCN","3","0.167158097840712","0.342565883684107","0.0342328550741793"
"B3_CW_MSS_1","B3","CW","MSS","1","0.272780931497525","0.422500579723577","0.072541357349733"
"B3_CW_MSS_2","B3","CW","MSS","2","0.302560740943412","0.416784809669426","0.0831347725980752"
"B3_CW_MSS_3","B3","CW","MSS","3","0.265273225801373","0.398914861357768","0.0736032480860355"
"B3_LW_LCY_1","B3","LW","LCY","1","0.121376428085342","0.395998625280918","0.0296756488164896"
"B3_LW_LCY_2","B3","LW","LCY","2","0.127945748644014","0.386361535350304","0.0299010320890509"
"B3_LW_LCY_3","B3","LW","LCY","3","0.120460622893217","0.381730581112489","0.0293288563987019"
"B3_LW_DCY_1","B3","LW","DCY","1","0.114433876844877","0.342345137355541","0.0248699238305667"
"B3_LW_DCY_2","B3","LW","DCY","2","0.104651897521511","0.312087816530393","0.0232459247938014"
"B3_LW_DCY_3","B3","LW","DCY","3","0.106910100032716","0.324988776185334","0.0239567010996132"
"B3_LW_LCN_1","B3","LW","LCN","1","0.164817875021833","0.310857992263006","0.034924798880044"
"B3_LW_LCN_2","B3","LW","LCN","2","0.13572226445875","0.351538288452083","0.031383605700943"
"B3_LW_LCN_3","B3","LW","LCN","3","0.242641789592021","0.404890961011377","0.0762926528320798"
"B3_LW_MSS_1","B3","LW","MSS","1","0.161673102996158","0.319133641590993","0.0428612355667111"
"B3_LW_MSS_2","B3","LW","MSS","2","0.371910478709528","0.417471721642979","0.107132247849979"
"B3_LW_MSS_3","B3","LW","MSS","3","0.419553171087266","0.415341333915034","0.148200674326378"
"B3_CC_LCY_1","B3","CC","LCY","1","0.143243643967468","0.417338157516634","0.0346063170142568"
"B3_CC_LCY_2","B3","CC","LCY","2","0.13432912111462","0.40835640122609","0.0325369514486725"
"B3_CC_LCY_3","B3","CC","LCY","3","0.142648317080554","0.394246650786647","0.0335923730690914"
"B3_CC_DCY_1","B3","CC","DCY","1","0.205984217610267","0.36203070456711","0.0488630486688337"
"B3_CC_DCY_2","B3","CC","DCY","2","0.152257016941064","0.336838909879123","0.0319503683874624"
"B3_CC_DCY_3","B3","CC","DCY","3","0.158566036030977","0.364792704124033","0.035193892030067"
"B3_CC_LCN_1","B3","CC","LCN","1","0.178354964584146","0.292729530374029","0.0404185076742489"
"B3_CC_LCN_2","B3","CC","LCN","2","0.209746486734734","0.281926411927586","0.0479440616682642"
"B3_CC_LCN_3","B3","CC","LCN","3","0.209012489330328","0.338794969792026","0.0452029999179792"
"B3_CC_MSS_1","B3","CC","MSS","1","0.296283398434922","0.346076418783452","0.0696668929977084"
"B3_CC_MSS_2","B3","CC","MSS","2","0.293461087321212","0.386333385620318","0.0791497829770011"
"B3_CC_MSS_3","B3","CC","MSS","3","0.313596928664001","0.408180162746976","0.0829273565774152"
